Rolling date: 2001-01-31 00:00:00, Elapsed time: 2.54 seconds
Rolling date: 2001-02-01 00:00:00, Elapsed time: 3.07 seconds
Rolling date: 2001-02-02 00:00:00, Elapsed time: 2.55 seconds
Rolling date: 2001-02-05 00:00:00, Elapsed time: 2.35 seconds
Rolling date: 2001-02-06 00:00:00, Elapsed time: 2.75 seconds
Rolling date: 2001-02-07 00:00:00, Elapsed time: 2.24 seconds
Rolling date: 2001-02-08 00:00:00, Elapsed time: 1.77 seconds
Rolling date: 2001-02-09 00:00:00, Elapsed time: 1.69 seconds
Rolling date: 2001-02-12 00:00:00, Elapsed time: 1.77 seconds
Rolling date: 2001-02-13 00:00:00, Elapsed time: 1.76 seconds
Rolling date: 2001-02-14 00:00:00, Elapsed time: 1.58 seconds
Rolling date: 2001-02-15 00:00:00, Elapsed time: 1.60 seconds
Rolling date: 2001-02-16 00:00:00, Elapsed time: 1.84 seconds
Rolling date: 2001-02-20 00:00:00, Elapsed time: 1.58 seconds
Rolling date: 2001-02-21 00:00:00, Elapsed time: 1.65 seconds
Rolling date: 2001-02-22 00:00:00, Elapsed time: 1.78 seconds
Rolling date: 2001-02-23 00:00:00, Elapsed time: 1.63 seconds
Rolling date: 2001-02-26 00:00:00, Elapsed time: 1.61 seconds
Rolling date: 2001-02-27 00:00:00, Elapsed time: 1.99 seconds
Rolling date: 2001-02-28 00:00:00, Elapsed time: 1.95 seconds
Rolling date: 2001-03-01 00:00:00, Elapsed time: 1.68 seconds
Rolling date: 2001-03-02 00:00:00, Elapsed time: 1.87 seconds
Rolling date: 2001-03-05 00:00:00, Elapsed time: 2.57 seconds
Rolling date: 2001-03-06 00:00:00, Elapsed time: 2.04 seconds
Rolling date: 2001-03-07 00:00:00, Elapsed time: 1.97 seconds
Rolling date: 2001-03-08 00:00:00, Elapsed time: 1.69 seconds
Rolling date: 2001-03-09 00:00:00, Elapsed time: 1.65 seconds
Rolling date: 2001-03-12 00:00:00, Elapsed time: 1.91 seconds
Rolling date: 2001-03-13 00:00:00, Elapsed time: 1.75 seconds
Rolling date: 2001-03-14 00:00:00, Elapsed time: 1.82 seconds
Rolling date: 2001-03-15 00:00:00, Elapsed time: 1.83 seconds
Rolling date: 2001-03-16 00:00:00, Elapsed time: 1.77 seconds
Rolling date: 2001-03-19 00:00:00, Elapsed time: 1.96 seconds
Rolling date: 2001-03-20 00:00:00, Elapsed time: 2.46 seconds
Rolling date: 2001-03-21 00:00:00, Elapsed time: 2.02 seconds
Rolling date: 2001-03-22 00:00:00, Elapsed time: 2.46 seconds
Rolling date: 2001-03-23 00:00:00, Elapsed time: 2.05 seconds
Rolling date: 2001-03-26 00:00:00, Elapsed time: 1.92 seconds
Rolling date: 2001-03-27 00:00:00, Elapsed time: 2.39 seconds
Rolling date: 2001-03-28 00:00:00, Elapsed time: 1.86 seconds
Rolling date: 2001-03-29 00:00:00, Elapsed time: 1.86 seconds
